Row Labels,Country name,Continent,PISA_math,PISA_reading,PISA_science,PISA_math_boy,PISA_math_girl,PISA_reading_boy,PISA_reading_girl,PISA_science_boy,PISA_science_girl,Enrolment in public schools (% students),Spending in early childhood (% of GDP),Spending from primary to post-secundary non-tertiary (% of GDP),Public spending from primary to post-secundary non-tertiary (% of GDP),Low achievers in all three domains (% of students),Percentage of disadvantaged students who are academically resilient (who scored in the top quarter of performance in reading amongst students in their own country),"Reading performance, in bottom quarter of ESCS","GDP per capita, PPP (current international $)",25-64 year-old population with tertiary education,Difference in reading performance between the 90th and the 10th percentiles (in score points),Difference in maths performance between the 90th and 10th percentiles (in score points),Difference in science performance between the 90th and the 10th percentiles (in score points),Students who skipped one or more days of school in the two weeks prior to the test (%),Overall number of students per teacher,Coverage of the national 15-year-old population in PISA,"Total population of 15-year-olds (2018, % of population)","Percentage of students in schools whose principal reported that the school's capacity to provide instruction is hindered at least to some extent by a lack of educational material
"
POL,Poland,Europe,516,512,511,516,515,495,528,511,511,95.5130827,0.8555429,3.211598,2.796166,6.696734,10.82406,469.3866,31978.53,30.919592,251.7386,232.5449,238.2208,23.9434599614632,7.93857934385274,0.900298711937179,15.2165252623588,0.261120708218922
PRT,Portugal,Europe,492,492,492,497,488,480,504,494,489,86.6004631,NA,3.816396,3.314437,12.6433,10.0347,447.9724,34931.78,24.984337,250.4434,252.2641,240.4749,28.0893076085185,10.0105350637322,0.872988130327412,13.7665840579504,0.387679391651377
RUS,Russia,Europe,488,479,478,490,485,466,491,477,478,100,NA,2.365643,2.276071,11.18822,12.60556,443.1427,28681.78,56.725521,240.784,220.5811,217.1093,25.2823301803393,13.5494104863408,0.935739288462483,17.6257898116749,0.472311685638379
SVK,Slovak Republic,Europe,486,458,464,488,484,441,475,461,467,87.7123435,0.6436495,2.761265,2.502799,16.94763,9.094614,404.3957,31505.06,24.58342,263.2513,256.9765,251.3285,17.4545301877618,12.5156208837367,0.862051391530489,15.6766564701046,0.567244305663005
SVN,Slovenia,Europe,509,495,507,509,509,475,517,502,512,97.4789663,1.047179,3.175397,2.857051,8.027603,11.72221,461.6825,38915.64,32.455208,241.6458,229.6471,230.6228,17.79467735461,7.1182740061025,0.979277755556825,15.0639356537282,0.257599944598405
SWE,Sweden,Europe,502,506,499,502,503,489,523,496,503,80.7330041,1.831463,3.978019,3.971727,10.4902,11.43498,460.2542,53553.31,43.247318,280.4236,235.5529,255.7664,9.9472432197309,11.3727869513407,0.857367476201874,17.7608237270662,0.145908353863713
TUR,Turkey,Asia,454,466,468,456,451,453,478,465,472,87.8985676,NA,3.371467,2.45236,17.10529,14.5222,436.7201,27942.96,20.780222,230.077,228.0687,217.6765,51.6029855814712,11.9878799463071,0.726163709810428,23.4732399811609,0.13051088210173
USA,United States,North America,478,505,502,482,474,494,517,503,502,93.0059774,NA,3.498639,3.209809,12.64533,10.32794,459.6465,63064.42,47.431145,282.0112,240.9873,258.5742,19.8506145280092,14.4805771540409,0.860978835281256,18.6267477872132,0.150637599764909
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, ,,,,,,,,,,,,,,,,,,,,,,,,,,,
